-12519	2940
-12636	2960
-12714	2980
-12909	3020
-13026	3040
-13143	3080
-13260	3100
-13338	3120
-13455	3140
-13611	3160
-13650	3180
-13728	3180
-13845	3220
-13884	3240
-14079	3260
-14157	3280
-14313	3300
-14508	3360
-14625	3380
-14703	3440
-14820	3420
-14898	3440
-15054	3480
-15210	3500
-15327	3540
-15483	3560
-15561	3580
-15639	3620
-15756	3640
-15873	3660
-15951	3680
-16068	3700
-16263	3720
-16263	3740
-16380	3780
-16497	3780
-16653	3820
-16731	3840
-16887	3860
-16965	3880
-17082	3920
-17277	3920
-17433	3960
-17511	3980
-17667	4000
-17706	4020
-17784	4040
-17862	4060
-17979	4080
-18096	4100
-18213	4120
-18330	4160
-18369	4160
-18447	4180
-18603	4220
-18720	4260
-18798	4260
-18876	4280
-18993	4480
-19071	4320
-19149	4400
-19227	4340
-19305	4360
-19422	4360
-19461	4360
-19539	4380
-19617	4420
-19734	4440
-19851	4460
-19968	4480
-19968	4480
-19968	4500
-19968	4520
-19968	4520
-19929	4560
-19968	4560
-19968	4600
-19968	4600
-19968	4620
-19968	4640
-19968	4640
-19968	4680
-19968	4700
-19968	4720
-19968	4720
-19968	4700
-19968	4740
-19968	4780
-19968	4800
-19968	4800
-19968	4820
-19968	4820
-19968	4860
-19968	4860
-19968	4880
-19968	4920
-19968	4920
-19968	4920
-19968	4940
-19968	4940
-19968	4960
-19968	4980
-19968	4980
